
step 0: train loss 10.7592, val loss 10.7591
iter 0: loss 10.7590, time 11736.06ms, mfu -100.00%
iter 1: loss 10.7705, time 654.01ms, mfu -100.00%
iter 2: loss 10.7369, time 654.92ms, mfu -100.00%
iter 3: loss 10.6764, time 665.29ms, mfu -100.00%
iter 4: loss 10.6161, time 665.00ms, mfu -100.00%
iter 5: loss 10.5121, time 652.28ms, mfu 0.02%
iter 6: loss 10.3956, time 669.99ms, mfu 0.02%
iter 7: loss 10.3120, time 670.44ms, mfu 0.02%
iter 8: loss 10.2213, time 684.86ms, mfu 0.02%
iter 9: loss 10.1290, time 649.39ms, mfu 0.02%
iter 10: loss 10.0798, time 655.78ms, mfu 0.02%
iter 11: loss 10.0141, time 646.87ms, mfu 0.02%
iter 12: loss 9.9653, time 659.08ms, mfu 0.02%
iter 13: loss 9.9342, time 661.97ms, mfu 0.02%
iter 14: loss 9.8108, time 704.21ms, mfu 0.02%
iter 15: loss 9.7874, time 693.96ms, mfu 0.02%
iter 16: loss 9.7040, time 677.60ms, mfu 0.02%
iter 17: loss 9.6190, time 668.40ms, mfu 0.02%
iter 18: loss 9.5566, time 647.31ms, mfu 0.02%
iter 19: loss 9.4924, time 811.11ms, mfu 0.02%
iter 20: loss 9.4294, time 778.15ms, mfu 0.02%
iter 21: loss 9.3432, time 700.90ms, mfu 0.02%
iter 22: loss 9.3158, time 727.60ms, mfu 0.02%
iter 23: loss 9.2604, time 682.78ms, mfu 0.02%
iter 24: loss 9.1467, time 679.05ms, mfu 0.02%
iter 25: loss 9.1050, time 684.99ms, mfu 0.02%
iter 26: loss 9.0157, time 731.35ms, mfu 0.02%
iter 27: loss 8.9438, time 711.75ms, mfu 0.02%
iter 28: loss 8.9076, time 707.35ms, mfu 0.02%
iter 29: loss 8.8283, time 665.31ms, mfu 0.02%
iter 30: loss 8.7808, time 665.38ms, mfu 0.02%
iter 31: loss 8.6897, time 667.67ms, mfu 0.02%
iter 32: loss 8.6345, time 674.03ms, mfu 0.02%
iter 33: loss 8.5798, time 657.23ms, mfu 0.02%
iter 34: loss 8.4618, time 654.65ms, mfu 0.02%
iter 35: loss 8.3792, time 656.43ms, mfu 0.02%
iter 36: loss 8.3086, time 653.06ms, mfu 0.02%
iter 37: loss 8.2072, time 658.55ms, mfu 0.02%
iter 38: loss 8.1041, time 663.95ms, mfu 0.02%
iter 39: loss 8.0791, time 664.46ms, mfu 0.02%
iter 40: loss 7.9506, time 703.09ms, mfu 0.02%
iter 41: loss 7.8783, time 722.37ms, mfu 0.02%
iter 42: loss 7.7566, time 704.12ms, mfu 0.02%
iter 43: loss 7.6652, time 727.83ms, mfu 0.02%
iter 44: loss 7.5210, time 672.79ms, mfu 0.02%
iter 45: loss 7.4281, time 648.85ms, mfu 0.02%
iter 46: loss 7.3310, time 656.60ms, mfu 0.02%
iter 47: loss 7.2117, time 645.74ms, mfu 0.02%
iter 48: loss 7.0669, time 652.27ms, mfu 0.02%
iter 49: loss 6.9367, time 711.26ms, mfu 0.02%
iter 50: loss 6.8255, time 671.26ms, mfu 0.02%
iter 51: loss 6.6912, time 654.70ms, mfu 0.02%
iter 52: loss 6.6012, time 649.26ms, mfu 0.02%
iter 53: loss 6.4703, time 638.55ms, mfu 0.02%
iter 54: loss 6.2897, time 654.43ms, mfu 0.02%
iter 55: loss 6.1534, time 650.72ms, mfu 0.02%
iter 56: loss 6.0214, time 661.73ms, mfu 0.02%
iter 57: loss 5.8479, time 650.84ms, mfu 0.02%
iter 58: loss 5.6864, time 656.32ms, mfu 0.02%
iter 59: loss 5.5453, time 645.20ms, mfu 0.02%
iter 60: loss 5.4026, time 647.56ms, mfu 0.02%
iter 61: loss 5.2523, time 650.59ms, mfu 0.02%
iter 62: loss 5.0682, time 658.88ms, mfu 0.02%
iter 63: loss 4.9415, time 660.69ms, mfu 0.02%
iter 64: loss 4.7399, time 669.09ms, mfu 0.02%
iter 65: loss 4.5857, time 652.85ms, mfu 0.02%
iter 66: loss 4.4247, time 663.39ms, mfu 0.02%
iter 67: loss 4.2479, time 715.08ms, mfu 0.02%
iter 68: loss 4.1302, time 765.83ms, mfu 0.02%
iter 69: loss 3.9603, time 760.84ms, mfu 0.02%
iter 70: loss 3.8198, time 798.28ms, mfu 0.02%
iter 71: loss 3.6779, time 774.66ms, mfu 0.02%
iter 72: loss 3.5105, time 739.66ms, mfu 0.02%
iter 73: loss 3.3930, time 813.14ms, mfu 0.02%
iter 74: loss 3.3038, time 749.44ms, mfu 0.02%
iter 75: loss 3.1452, time 858.08ms, mfu 0.01%
iter 76: loss 3.0602, time 752.54ms, mfu 0.01%
iter 77: loss 2.9689, time 795.23ms, mfu 0.01%
iter 78: loss 2.8598, time 713.73ms, mfu 0.01%
iter 79: loss 2.7361, time 667.72ms, mfu 0.01%
iter 80: loss 2.6494, time 689.57ms, mfu 0.01%
iter 81: loss 2.5802, time 743.36ms, mfu 0.01%
iter 82: loss 2.5119, time 683.92ms, mfu 0.01%
iter 83: loss 2.4203, time 671.70ms, mfu 0.02%
iter 84: loss 2.3751, time 687.59ms, mfu 0.02%
iter 85: loss 2.2964, time 683.18ms, mfu 0.02%
iter 86: loss 2.2556, time 681.29ms, mfu 0.02%
iter 87: loss 2.1979, time 712.96ms, mfu 0.02%
iter 88: loss 2.1842, time 660.12ms, mfu 0.02%
iter 89: loss 2.1351, time 655.99ms, mfu 0.02%
iter 90: loss 2.0204, time 679.36ms, mfu 0.02%
iter 91: loss 2.0484, time 683.61ms, mfu 0.02%
iter 92: loss 1.9756, time 649.55ms, mfu 0.02%
iter 93: loss 1.9339, time 648.50ms, mfu 0.02%
iter 94: loss 1.9485, time 664.50ms, mfu 0.02%
iter 95: loss 1.8956, time 662.45ms, mfu 0.02%
iter 96: loss 1.8697, time 651.41ms, mfu 0.02%
iter 97: loss 1.8650, time 689.27ms, mfu 0.02%
iter 98: loss 1.8396, time 673.68ms, mfu 0.02%
iter 99: loss 1.8019, time 657.26ms, mfu 0.02%
iter 100: loss 1.6735, time 670.63ms, mfu 0.02%
iter 101: loss 1.7352, time 707.08ms, mfu 0.02%
iter 102: loss 1.5936, time 673.61ms, mfu 0.02%
iter 103: loss 1.7470, time 673.50ms, mfu 0.02%
iter 104: loss 1.6635, time 698.69ms, mfu 0.02%
iter 105: loss 1.6580, time 728.79ms, mfu 0.02%
iter 106: loss 1.6119, time 679.30ms, mfu 0.02%
iter 107: loss 1.5555, time 677.57ms, mfu 0.02%
iter 108: loss 1.6000, time 681.59ms, mfu 0.02%
iter 109: loss 1.4413, time 689.14ms, mfu 0.02%
iter 110: loss 1.4774, time 672.76ms, mfu 0.02%
iter 111: loss 1.5550, time 657.90ms, mfu 0.02%
iter 112: loss 1.4789, time 645.62ms, mfu 0.02%
