step 2000: train loss 0.9541, val loss 0.9491
saving checkpoint to out-multi
iter 2000: loss 1.0061, time 11108.72ms, mfu -100.00%
iter 2001: loss 0.8872, time 699.24ms, mfu -100.00%
iter 2002: loss 0.9452, time 682.46ms, mfu -100.00%
iter 2003: loss 0.9821, time 692.94ms, mfu -100.00%
iter 2004: loss 1.0312, time 654.51ms, mfu -100.00%
iter 2005: loss 0.9187, time 647.43ms, mfu 0.02%
iter 2006: loss 0.8806, time 638.60ms, mfu 0.02%
iter 2007: loss 0.9846, time 633.07ms, mfu 0.02%
iter 2008: loss 0.9555, time 645.96ms, mfu 0.02%
iter 2009: loss 0.9626, time 640.08ms, mfu 0.02%
iter 2010: loss 0.9235, time 657.25ms, mfu 0.02%
