
step 0: train loss 4.3902, val loss 4.3607
iter 0: loss 4.4126, time 124832.58ms, mfu -100.00%
iter 1: loss 4.3332, time 8743.73ms, mfu -100.00%
iter 2: loss 4.0555, time 8981.95ms, mfu -100.00%
iter 3: loss 3.6074, time 8840.41ms, mfu -100.00%
iter 4: loss 3.0720, time 8927.09ms, mfu -100.00%
iter 5: loss 2.9892, time 8832.20ms, mfu 0.02%
iter 6: loss 2.7326, time 8827.69ms, mfu 0.02%
iter 7: loss 2.7172, time 8917.52ms, mfu 0.02%
iter 8: loss 2.4968, time 8821.53ms, mfu 0.02%
iter 9: loss 2.4118, time 8784.33ms, mfu 0.02%
iter 10: loss 2.1764, time 8934.30ms, mfu 0.02%
iter 11: loss 2.0794, time 9037.15ms, mfu 0.02%
iter 12: loss 2.1487, time 8871.25ms, mfu 0.02%
iter 13: loss 2.0165, time 8757.34ms, mfu 0.02%
iter 14: loss 1.8550, time 8953.33ms, mfu 0.02%
iter 15: loss 1.7853, time 8820.48ms, mfu 0.02%
iter 16: loss 1.6226, time 8879.28ms, mfu 0.02%
iter 17: loss 1.5731, time 9033.77ms, mfu 0.02%
iter 18: loss 1.4941, time 8951.22ms, mfu 0.02%
iter 19: loss 1.4080, time 8876.81ms, mfu 0.02%
iter 20: loss 1.3049, time 8795.05ms, mfu 0.02%
iter 21: loss 1.3883, time 9148.44ms, mfu 0.02%
iter 22: loss 1.3539, time 9146.70ms, mfu 0.02%
iter 23: loss 1.2820, time 9127.16ms, mfu 0.02%
iter 24: loss 1.3849, time 9000.16ms, mfu 0.02%
iter 25: loss 1.2956, time 9099.97ms, mfu 0.02%
iter 26: loss 1.2063, time 9245.94ms, mfu 0.02%
iter 27: loss 1.3986, time 9203.96ms, mfu 0.02%
iter 28: loss 1.1857, time 9035.93ms, mfu 0.02%
iter 29: loss 1.2750, time 8941.18ms, mfu 0.02%
iter 30: loss 1.1863, time 8946.33ms, mfu 0.02%
iter 31: loss 1.2147, time 8798.68ms, mfu 0.02%
iter 32: loss 1.2597, time 8814.47ms, mfu 0.02%
iter 33: loss 1.2883, time 8747.99ms, mfu 0.02%
iter 34: loss 1.2348, time 8782.44ms, mfu 0.02%
iter 35: loss 1.2027, time 9002.09ms, mfu 0.02%
iter 36: loss 1.2494, time 8993.74ms, mfu 0.02%
iter 37: loss 1.2506, time 8972.61ms, mfu 0.02%
iter 38: loss 1.1741, time 8896.79ms, mfu 0.02%
iter 39: loss 1.2948, time 8980.10ms, mfu 0.02%
iter 40: loss 1.1544, time 9004.13ms, mfu 0.02%
iter 41: loss 1.2654, time 9046.69ms, mfu 0.02%
iter 42: loss 1.1924, time 8939.43ms, mfu 0.02%
iter 43: loss 1.1278, time 8802.27ms, mfu 0.02%
iter 44: loss 1.2218, time 9013.80ms, mfu 0.02%
iter 45: loss 1.1581, time 8966.70ms, mfu 0.02%
iter 46: loss 1.1497, time 9021.89ms, mfu 0.02%
iter 47: loss 1.2228, time 9138.66ms, mfu 0.02%
iter 48: loss 1.2205, time 8984.35ms, mfu 0.02%
iter 49: loss 1.1576, time 8973.70ms, mfu 0.02%
iter 50: loss 1.2227, time 8793.65ms, mfu 0.02%
iter 51: loss 1.1515, time 8802.19ms, mfu 0.02%
iter 52: loss 1.0139, time 8879.87ms, mfu 0.02%
iter 53: loss 1.3215, time 8917.58ms, mfu 0.02%
iter 54: loss 1.1909, time 8989.94ms, mfu 0.02%
iter 55: loss 1.0992, time 8973.61ms, mfu 0.02%
iter 56: loss 1.1281, time 8991.53ms, mfu 0.02%
iter 57: loss 1.1099, time 8834.06ms, mfu 0.02%
iter 58: loss 1.0795, time 9142.51ms, mfu 0.02%
iter 59: loss 1.1212, time 8998.33ms, mfu 0.02%
iter 60: loss 1.0959, time 8947.06ms, mfu 0.02%
iter 61: loss 1.0938, time 8789.90ms, mfu 0.02%
iter 62: loss 1.0705, time 8859.79ms, mfu 0.02%
iter 63: loss 1.0522, time 8895.65ms, mfu 0.02%
iter 64: loss 1.0496, time 8758.48ms, mfu 0.02%
iter 65: loss 1.1647, time 8817.41ms, mfu 0.02%
iter 66: loss 1.1955, time 8733.51ms, mfu 0.02%
iter 67: loss 1.0421, time 8907.56ms, mfu 0.02%
iter 68: loss 1.0520, time 8941.77ms, mfu 0.02%
iter 69: loss 1.0247, time 8742.49ms, mfu 0.02%
iter 70: loss 1.1400, time 9004.40ms, mfu 0.02%
iter 71: loss 1.1988, time 9267.79ms, mfu 0.02%
iter 72: loss 1.1523, time 9098.66ms, mfu 0.02%
iter 73: loss 1.1703, time 9057.33ms, mfu 0.02%
iter 74: loss 1.0263, time 8963.48ms, mfu 0.02%
iter 75: loss 1.0753, time 8774.13ms, mfu 0.02%
iter 76: loss 1.1896, time 8779.26ms, mfu 0.02%
iter 77: loss 1.0827, time 8698.26ms, mfu 0.02%
iter 78: loss 1.1805, time 8634.03ms, mfu 0.02%
iter 79: loss 1.0851, time 8630.71ms, mfu 0.02%
iter 80: loss 1.1444, time 8701.02ms, mfu 0.02%
iter 81: loss 1.0612, time 8670.26ms, mfu 0.02%
iter 82: loss 1.1222, time 8893.07ms, mfu 0.02%
iter 83: loss 1.1696, time 9040.52ms, mfu 0.02%
iter 84: loss 1.1147, time 8917.50ms, mfu 0.02%
iter 85: loss 1.0906, time 8897.54ms, mfu 0.02%
iter 86: loss 1.1579, time 8872.14ms, mfu 0.02%
iter 87: loss 1.1783, time 8788.10ms, mfu 0.02%
iter 88: loss 0.9754, time 8704.79ms, mfu 0.02%
iter 89: loss 1.1225, time 8618.25ms, mfu 0.02%
iter 90: loss 1.0996, time 8619.23ms, mfu 0.02%
iter 91: loss 1.0780, time 8621.39ms, mfu 0.02%
iter 92: loss 1.1947, time 8617.92ms, mfu 0.02%
iter 93: loss 1.0428, time 8616.94ms, mfu 0.02%
iter 94: loss 1.1302, time 8614.67ms, mfu 0.02%
iter 95: loss 1.0209, time 8630.73ms, mfu 0.02%
iter 96: loss 1.0929, time 8642.42ms, mfu 0.02%
iter 97: loss 1.6474, time 8629.96ms, mfu 0.02%
iter 98: loss 1.8213, time 8638.12ms, mfu 0.02%
iter 99: loss 1.4418, time 8609.92ms, mfu 0.02%
iter 100: loss 1.2011, time 8636.51ms, mfu 0.02%
iter 101: loss 1.1718, time 8603.78ms, mfu 0.02%
iter 102: loss 1.6269, time 8610.38ms, mfu 0.02%
iter 103: loss 1.4180, time 8597.09ms, mfu 0.02%
iter 104: loss 1.3240, time 8627.38ms, mfu 0.02%
iter 105: loss 1.2948, time 8599.64ms, mfu 0.02%
iter 106: loss 1.2500, time 8664.11ms, mfu 0.02%
iter 107: loss 1.1644, time 8611.95ms, mfu 0.02%
iter 108: loss 1.1226, time 8600.99ms, mfu 0.02%
iter 109: loss 1.0690, time 8600.26ms, mfu 0.02%
iter 110: loss 1.0794, time 8610.08ms, mfu 0.02%
iter 111: loss 1.1437, time 8608.78ms, mfu 0.02%
iter 112: loss 1.0973, time 8589.91ms, mfu 0.02%
iter 113: loss 1.1851, time 8609.80ms, mfu 0.02%
iter 114: loss 1.0072, time 8635.84ms, mfu 0.02%
iter 115: loss 1.0777, time 8602.76ms, mfu 0.02%
iter 116: loss 1.0185, time 8601.87ms, mfu 0.02%
iter 117: loss 1.0625, time 8590.38ms, mfu 0.02%
iter 118: loss 1.1975, time 8639.95ms, mfu 0.02%
iter 119: loss 1.1475, time 8595.88ms, mfu 0.02%
iter 120: loss 1.0955, time 8620.06ms, mfu 0.02%
iter 121: loss 1.0590, time 8624.21ms, mfu 0.02%
iter 122: loss 1.2189, time 8599.85ms, mfu 0.02%
iter 123: loss 1.1291, time 8582.19ms, mfu 0.02%
iter 124: loss 1.2398, time 8607.13ms, mfu 0.02%
iter 125: loss 1.1768, time 8607.71ms, mfu 0.02%
iter 126: loss 1.0693, time 8600.29ms, mfu 0.02%
iter 127: loss 1.0908, time 8615.77ms, mfu 0.02%
iter 128: loss 1.1891, time 8932.50ms, mfu 0.02%
iter 129: loss 1.0857, time 9127.66ms, mfu 0.02%
iter 130: loss 1.0794, time 9054.29ms, mfu 0.02%
iter 131: loss 1.1519, time 8868.28ms, mfu 0.02%
iter 132: loss 1.0390, time 8902.36ms, mfu 0.02%
iter 133: loss 1.0391, time 8750.98ms, mfu 0.02%
iter 134: loss 1.1432, time 8892.81ms, mfu 0.02%
iter 135: loss 1.1496, time 8923.11ms, mfu 0.02%
iter 136: loss 1.1108, time 8788.36ms, mfu 0.02%
iter 137: loss 1.2107, time 8741.69ms, mfu 0.02%
iter 138: loss 1.2141, time 8814.91ms, mfu 0.02%
iter 139: loss 1.1992, time 8775.31ms, mfu 0.02%
iter 140: loss 1.1101, time 8833.33ms, mfu 0.02%
iter 141: loss 1.0643, time 8693.13ms, mfu 0.02%
iter 142: loss 1.1338, time 8766.49ms, mfu 0.02%
iter 143: loss 1.1298, time 8825.33ms, mfu 0.02%
iter 144: loss 1.0971, time 8744.29ms, mfu 0.02%
iter 145: loss 1.0851, time 8802.87ms, mfu 0.02%
iter 146: loss 1.0610, time 8695.72ms, mfu 0.02%
iter 147: loss 1.1509, time 8652.71ms, mfu 0.02%
iter 148: loss 1.0518, time 8854.63ms, mfu 0.02%
iter 149: loss 1.0605, time 8890.25ms, mfu 0.02%
iter 150: loss 0.9653, time 8621.86ms, mfu 0.02%
iter 151: loss 1.1014, time 8570.55ms, mfu 0.02%
iter 152: loss 1.1046, time 8584.76ms, mfu 0.02%
iter 153: loss 1.0810, time 8582.51ms, mfu 0.02%
iter 154: loss 1.1014, time 8599.58ms, mfu 0.02%
iter 155: loss 1.0596, time 8618.10ms, mfu 0.02%
iter 156: loss 1.0231, time 8647.79ms, mfu 0.02%
iter 157: loss 0.9550, time 8873.66ms, mfu 0.02%
iter 158: loss 1.1935, time 9014.47ms, mfu 0.02%
iter 159: loss 1.0155, time 8884.87ms, mfu 0.02%
iter 160: loss 1.1387, time 8596.58ms, mfu 0.02%
iter 161: loss 1.0318, time 8630.34ms, mfu 0.02%
iter 162: loss 1.1049, time 8768.60ms, mfu 0.02%
iter 163: loss 1.1542, time 8699.48ms, mfu 0.02%
iter 164: loss 1.1301, time 8667.57ms, mfu 0.02%
iter 165: loss 1.0214, time 8650.96ms, mfu 0.02%
iter 166: loss 1.0477, time 8702.29ms, mfu 0.02%
iter 167: loss 0.9831, time 8649.90ms, mfu 0.02%
iter 168: loss 1.0487, time 8909.56ms, mfu 0.02%
iter 169: loss 1.1173, time 8682.00ms, mfu 0.02%
iter 170: loss 1.0446, time 8606.38ms, mfu 0.02%
iter 171: loss 1.0212, time 8586.49ms, mfu 0.02%
iter 172: loss 1.0527, time 8595.62ms, mfu 0.02%
iter 173: loss 1.0541, time 8607.75ms, mfu 0.02%
iter 174: loss 1.1348, time 8613.53ms, mfu 0.02%
iter 175: loss 1.0019, time 8592.14ms, mfu 0.02%
iter 176: loss 1.0981, time 8632.36ms, mfu 0.02%
iter 177: loss 1.1136, time 8586.64ms, mfu 0.02%
iter 178: loss 1.0160, time 8634.88ms, mfu 0.02%
