
step 0: train loss 10.7589, val loss 10.7631
iter 0: loss 10.7649, time 12002.00ms, mfu -100.00%
iter 1: loss 10.7671, time 725.81ms, mfu -100.00%
iter 2: loss 10.7402, time 685.73ms, mfu -100.00%
iter 3: loss 10.6898, time 679.43ms, mfu -100.00%
iter 4: loss 10.6031, time 682.38ms, mfu -100.00%
iter 5: loss 10.5173, time 674.44ms, mfu 0.02%
iter 6: loss 10.4174, time 664.28ms, mfu 0.02%
iter 7: loss 10.2958, time 672.54ms, mfu 0.02%
iter 8: loss 10.2008, time 673.49ms, mfu 0.02%
iter 9: loss 10.1390, time 673.87ms, mfu 0.02%
iter 10: loss 10.0752, time 677.35ms, mfu 0.02%
iter 11: loss 10.0298, time 671.94ms, mfu 0.02%
iter 12: loss 9.9678, time 796.55ms, mfu 0.02%
iter 13: loss 9.9113, time 681.27ms, mfu 0.02%
iter 14: loss 9.8488, time 669.52ms, mfu 0.02%
iter 15: loss 9.7899, time 687.92ms, mfu 0.02%
iter 16: loss 9.7038, time 673.70ms, mfu 0.02%
iter 17: loss 9.6322, time 697.12ms, mfu 0.02%
iter 18: loss 9.5734, time 726.69ms, mfu 0.02%
iter 19: loss 9.5245, time 728.96ms, mfu 0.02%
iter 20: loss 9.4480, time 727.38ms, mfu 0.02%
iter 21: loss 9.3712, time 672.54ms, mfu 0.02%
iter 22: loss 9.3064, time 670.15ms, mfu 0.02%
iter 23: loss 9.2466, time 676.83ms, mfu 0.02%
iter 24: loss 9.1704, time 765.70ms, mfu 0.02%
iter 25: loss 9.1150, time 765.75ms, mfu 0.02%
iter 26: loss 9.0538, time 676.42ms, mfu 0.02%
iter 27: loss 8.9803, time 673.89ms, mfu 0.02%
iter 28: loss 8.9115, time 678.26ms, mfu 0.02%
iter 29: loss 8.8541, time 671.07ms, mfu 0.02%
iter 30: loss 8.7514, time 676.97ms, mfu 0.02%
iter 31: loss 8.6688, time 675.67ms, mfu 0.02%
iter 32: loss 8.6289, time 670.33ms, mfu 0.02%
iter 33: loss 8.5560, time 668.83ms, mfu 0.02%
iter 34: loss 8.4707, time 670.29ms, mfu 0.02%
iter 35: loss 8.3791, time 688.31ms, mfu 0.02%
iter 36: loss 8.3059, time 704.73ms, mfu 0.02%
iter 37: loss 8.2207, time 691.24ms, mfu 0.02%
iter 38: loss 8.1332, time 691.79ms, mfu 0.02%
iter 39: loss 8.0460, time 706.20ms, mfu 0.02%
iter 40: loss 7.9603, time 761.61ms, mfu 0.02%
iter 41: loss 7.8558, time 697.51ms, mfu 0.02%
iter 42: loss 7.7645, time 669.84ms, mfu 0.02%
iter 43: loss 7.6420, time 671.04ms, mfu 0.02%
iter 44: loss 7.5380, time 706.02ms, mfu 0.02%
iter 45: loss 7.4248, time 720.77ms, mfu 0.02%
iter 46: loss 7.3177, time 698.41ms, mfu 0.02%
iter 47: loss 7.2004, time 683.94ms, mfu 0.02%
iter 48: loss 7.0886, time 673.84ms, mfu 0.02%
iter 49: loss 6.9600, time 678.61ms, mfu 0.02%
iter 50: loss 6.8368, time 672.56ms, mfu 0.02%
iter 51: loss 6.7075, time 676.95ms, mfu 0.02%
iter 52: loss 6.5667, time 678.54ms, mfu 0.02%
iter 53: loss 6.4439, time 676.79ms, mfu 0.02%
iter 54: loss 6.3055, time 676.74ms, mfu 0.02%
iter 55: loss 6.1677, time 676.02ms, mfu 0.02%
iter 56: loss 6.0114, time 681.81ms, mfu 0.02%
iter 57: loss 5.8713, time 670.28ms, mfu 0.02%
iter 58: loss 5.7121, time 672.15ms, mfu 0.02%
iter 59: loss 5.5604, time 669.80ms, mfu 0.02%
iter 60: loss 5.4153, time 671.22ms, mfu 0.02%
iter 61: loss 5.2570, time 685.34ms, mfu 0.02%
iter 62: loss 5.1030, time 691.96ms, mfu 0.02%
iter 63: loss 4.9497, time 720.91ms, mfu 0.02%
iter 64: loss 4.7699, time 708.14ms, mfu 0.02%
iter 65: loss 4.6107, time 721.34ms, mfu 0.02%
iter 66: loss 4.4587, time 697.56ms, mfu 0.02%
iter 67: loss 4.2944, time 699.54ms, mfu 0.02%
iter 68: loss 4.1198, time 691.35ms, mfu 0.02%
iter 69: loss 3.9693, time 669.11ms, mfu 0.02%
iter 70: loss 3.8368, time 668.74ms, mfu 0.02%
iter 71: loss 3.6757, time 680.56ms, mfu 0.02%
iter 72: loss 3.5519, time 672.86ms, mfu 0.02%
iter 73: loss 3.4066, time 681.97ms, mfu 0.02%
iter 74: loss 3.2855, time 689.83ms, mfu 0.02%
iter 75: loss 3.1803, time 678.28ms, mfu 0.02%
iter 76: loss 3.0683, time 669.74ms, mfu 0.02%
iter 77: loss 2.9398, time 672.00ms, mfu 0.02%
iter 78: loss 2.8520, time 672.38ms, mfu 0.02%
iter 79: loss 2.7399, time 677.07ms, mfu 0.02%
iter 80: loss 2.6571, time 672.08ms, mfu 0.02%
iter 81: loss 2.5737, time 693.34ms, mfu 0.02%
iter 82: loss 2.4917, time 788.35ms, mfu 0.02%
iter 83: loss 2.4313, time 680.88ms, mfu 0.02%
iter 84: loss 2.3552, time 675.90ms, mfu 0.02%
iter 85: loss 2.3047, time 673.03ms, mfu 0.02%
iter 86: loss 2.2395, time 673.77ms, mfu 0.02%
iter 87: loss 2.1739, time 670.99ms, mfu 0.02%
iter 88: loss 2.1126, time 672.72ms, mfu 0.02%
iter 89: loss 2.0871, time 671.26ms, mfu 0.02%
iter 90: loss 2.0611, time 703.01ms, mfu 0.02%
iter 91: loss 2.0138, time 675.86ms, mfu 0.02%
iter 92: loss 1.9445, time 798.95ms, mfu 0.02%
iter 93: loss 1.9075, time 843.74ms, mfu 0.02%
iter 94: loss 1.8558, time 700.94ms, mfu 0.02%
iter 95: loss 1.8201, time 711.82ms, mfu 0.02%
iter 96: loss 1.7704, time 678.23ms, mfu 0.02%
iter 97: loss 1.7433, time 672.46ms, mfu 0.02%
iter 98: loss 1.7151, time 674.36ms, mfu 0.02%
iter 99: loss 1.7147, time 682.61ms, mfu 0.02%
iter 100: loss 1.7094, time 672.49ms, mfu 0.02%
iter 101: loss 1.6204, time 676.23ms, mfu 0.02%
iter 102: loss 1.5868, time 766.86ms, mfu 0.02%
iter 103: loss 1.5677, time 737.03ms, mfu 0.02%
iter 104: loss 1.5705, time 809.76ms, mfu 0.02%
iter 105: loss 1.5228, time 712.32ms, mfu 0.02%
iter 106: loss 1.4977, time 700.40ms, mfu 0.02%
iter 107: loss 1.4744, time 738.25ms, mfu 0.02%
iter 108: loss 1.4706, time 692.99ms, mfu 0.02%
iter 109: loss 1.4241, time 689.36ms, mfu 0.02%
iter 110: loss 1.4966, time 708.85ms, mfu 0.02%
iter 111: loss 1.4632, time 689.70ms, mfu 0.02%
iter 112: loss 1.4206, time 765.36ms, mfu 0.02%
iter 113: loss 1.3790, time 727.94ms, mfu 0.02%
iter 114: loss 1.3960, time 666.57ms, mfu 0.02%
iter 115: loss 1.3971, time 675.89ms, mfu 0.02%
iter 116: loss 1.3613, time 676.60ms, mfu 0.02%
iter 117: loss 1.3323, time 673.97ms, mfu 0.02%
iter 118: loss 1.3387, time 673.90ms, mfu 0.02%
iter 119: loss 1.3279, time 679.89ms, mfu 0.02%
iter 120: loss 1.3184, time 670.46ms, mfu 0.02%
iter 121: loss 1.3379, time 663.42ms, mfu 0.02%
iter 122: loss 1.3415, time 678.79ms, mfu 0.02%
iter 123: loss 1.3531, time 679.59ms, mfu 0.02%
iter 124: loss 1.3376, time 674.86ms, mfu 0.02%
iter 125: loss 1.3039, time 696.84ms, mfu 0.02%
iter 126: loss 1.2895, time 666.84ms, mfu 0.02%
iter 127: loss 1.2956, time 672.93ms, mfu 0.02%
iter 128: loss 1.2611, time 670.53ms, mfu 0.02%
iter 129: loss 1.3249, time 677.83ms, mfu 0.02%
iter 130: loss 1.3109, time 687.06ms, mfu 0.02%
iter 131: loss 1.2842, time 674.94ms, mfu 0.02%
iter 132: loss 1.2012, time 671.05ms, mfu 0.02%
iter 133: loss 1.2451, time 671.45ms, mfu 0.02%
iter 134: loss 1.2212, time 668.43ms, mfu 0.02%
iter 135: loss 1.2082, time 669.86ms, mfu 0.02%
iter 136: loss 1.2273, time 669.99ms, mfu 0.02%
iter 137: loss 1.1994, time 663.39ms, mfu 0.02%
iter 138: loss 1.2611, time 665.60ms, mfu 0.02%
iter 139: loss 1.2503, time 672.94ms, mfu 0.02%
iter 140: loss 1.2180, time 665.99ms, mfu 0.02%
iter 141: loss 1.2608, time 671.11ms, mfu 0.02%
iter 142: loss 1.2564, time 701.84ms, mfu 0.02%
iter 143: loss 1.1816, time 701.23ms, mfu 0.02%
iter 144: loss 1.2303, time 674.28ms, mfu 0.02%
iter 145: loss 1.2160, time 692.57ms, mfu 0.02%
iter 146: loss 1.1873, time 680.63ms, mfu 0.02%
iter 147: loss 1.1778, time 754.19ms, mfu 0.02%
iter 148: loss 1.1626, time 698.56ms, mfu 0.02%
iter 149: loss 1.1688, time 727.70ms, mfu 0.02%
iter 150: loss 1.1666, time 678.07ms, mfu 0.02%
iter 151: loss 1.1391, time 678.43ms, mfu 0.02%
iter 152: loss 1.1155, time 698.12ms, mfu 0.02%
iter 153: loss 1.1486, time 702.10ms, mfu 0.02%
iter 154: loss 1.1311, time 694.56ms, mfu 0.02%
iter 155: loss 1.1372, time 752.12ms, mfu 0.02%
iter 156: loss 1.1092, time 689.73ms, mfu 0.02%
iter 157: loss 1.0985, time 876.91ms, mfu 0.02%
iter 158: loss 1.1104, time 712.00ms, mfu 0.02%
iter 159: loss 1.0976, time 692.80ms, mfu 0.02%
iter 160: loss 1.0737, time 689.87ms, mfu 0.02%
iter 161: loss 1.1112, time 706.11ms, mfu 0.02%
iter 162: loss 1.0921, time 697.75ms, mfu 0.02%
iter 163: loss 1.0309, time 687.91ms, mfu 0.02%
iter 164: loss 1.1459, time 687.68ms, mfu 0.02%
iter 165: loss 1.0792, time 677.63ms, mfu 0.02%
iter 166: loss 1.1030, time 689.54ms, mfu 0.02%
iter 167: loss 1.1128, time 760.60ms, mfu 0.02%
iter 168: loss 1.1608, time 772.33ms, mfu 0.02%
iter 169: loss 1.0902, time 719.85ms, mfu 0.02%
iter 170: loss 1.0701, time 706.26ms, mfu 0.02%
iter 171: loss 1.0868, time 705.96ms, mfu 0.02%
iter 172: loss 1.0825, time 743.59ms, mfu 0.02%
iter 173: loss 1.0416, time 716.50ms, mfu 0.02%
iter 174: loss 1.0422, time 758.18ms, mfu 0.01%
iter 175: loss 1.0629, time 802.29ms, mfu 0.01%
iter 176: loss 1.0210, time 727.61ms, mfu 0.01%
iter 177: loss 1.0352, time 862.56ms, mfu 0.01%
iter 178: loss 1.0541, time 873.43ms, mfu 0.01%
iter 179: loss 0.9915, time 825.13ms, mfu 0.01%
iter 180: loss 1.0436, time 801.37ms, mfu 0.01%
iter 181: loss 1.0705, time 899.45ms, mfu 0.01%
iter 182: loss 1.0597, time 1349.55ms, mfu 0.01%
iter 183: loss 1.0617, time 1182.97ms, mfu 0.01%
iter 184: loss 1.0128, time 1004.95ms, mfu 0.01%
iter 185: loss 1.0465, time 838.69ms, mfu 0.01%
iter 186: loss 1.0392, time 963.31ms, mfu 0.01%
iter 187: loss 1.0189, time 1308.44ms, mfu 0.01%
iter 188: loss 1.0353, time 1060.49ms, mfu 0.01%
iter 189: loss 0.9951, time 1137.86ms, mfu 0.01%
iter 190: loss 1.0080, time 1210.13ms, mfu 0.01%
iter 191: loss 1.0475, time 1010.65ms, mfu 0.01%
iter 192: loss 1.0502, time 1355.76ms, mfu 0.01%
iter 193: loss 1.0197, time 796.92ms, mfu 0.01%
iter 194: loss 0.9981, time 836.41ms, mfu 0.01%
iter 195: loss 1.0106, time 875.75ms, mfu 0.01%
iter 196: loss 1.0055, time 884.37ms, mfu 0.01%
iter 197: loss 0.9972, time 896.62ms, mfu 0.01%
iter 198: loss 0.9906, time 741.80ms, mfu 0.01%
iter 199: loss 1.0159, time 702.62ms, mfu 0.01%
iter 200: loss 0.9620, time 749.42ms, mfu 0.01%
iter 201: loss 0.9904, time 720.35ms, mfu 0.01%
iter 202: loss 1.0257, time 726.08ms, mfu 0.01%
iter 203: loss 1.0101, time 720.20ms, mfu 0.01%
iter 204: loss 0.9739, time 736.01ms, mfu 0.01%
iter 205: loss 1.0007, time 733.73ms, mfu 0.01%
iter 206: loss 1.0156, time 698.71ms, mfu 0.01%
iter 207: loss 1.0254, time 693.10ms, mfu 0.01%
iter 208: loss 1.0025, time 708.77ms, mfu 0.01%
iter 209: loss 0.9833, time 741.11ms, mfu 0.01%
iter 210: loss 1.0106, time 752.17ms, mfu 0.01%
iter 211: loss 1.0459, time 722.24ms, mfu 0.01%
iter 212: loss 1.0033, time 703.60ms, mfu 0.01%
iter 213: loss 0.9695, time 705.35ms, mfu 0.01%
iter 214: loss 0.9569, time 683.13ms, mfu 0.01%
iter 215: loss 0.9855, time 680.05ms, mfu 0.01%
iter 216: loss 0.9801, time 681.10ms, mfu 0.01%
iter 217: loss 0.9821, time 696.87ms, mfu 0.01%
iter 218: loss 1.0016, time 701.11ms, mfu 0.01%
iter 219: loss 1.0046, time 698.09ms, mfu 0.01%
iter 220: loss 0.9875, time 702.95ms, mfu 0.01%
iter 221: loss 0.9960, time 694.09ms, mfu 0.02%
iter 222: loss 0.9789, time 783.79ms, mfu 0.01%
iter 223: loss 0.9782, time 688.68ms, mfu 0.01%
iter 224: loss 1.0087, time 693.54ms, mfu 0.02%
iter 225: loss 0.9830, time 673.83ms, mfu 0.02%
iter 226: loss 1.0254, time 665.64ms, mfu 0.02%
iter 227: loss 1.0712, time 672.39ms, mfu 0.02%
iter 228: loss 1.0115, time 662.51ms, mfu 0.02%
iter 229: loss 1.0171, time 672.54ms, mfu 0.02%
iter 230: loss 1.0301, time 684.06ms, mfu 0.02%
iter 231: loss 1.0218, time 667.26ms, mfu 0.02%
iter 232: loss 0.9887, time 680.58ms, mfu 0.02%
iter 233: loss 0.9762, time 681.64ms, mfu 0.02%
iter 234: loss 0.9729, time 674.88ms, mfu 0.02%
iter 235: loss 0.9635, time 672.92ms, mfu 0.02%
iter 236: loss 0.9248, time 679.63ms, mfu 0.02%
iter 237: loss 0.9706, time 677.99ms, mfu 0.02%
iter 238: loss 0.9536, time 670.93ms, mfu 0.02%
iter 239: loss 0.9434, time 675.98ms, mfu 0.02%
iter 240: loss 0.9821, time 672.05ms, mfu 0.02%
iter 241: loss 1.0140, time 671.87ms, mfu 0.02%
iter 242: loss 0.9664, time 675.92ms, mfu 0.02%
iter 243: loss 0.9293, time 667.92ms, mfu 0.02%
iter 244: loss 0.9519, time 669.25ms, mfu 0.02%
iter 245: loss 0.9690, time 675.12ms, mfu 0.02%
iter 246: loss 0.9616, time 672.22ms, mfu 0.02%
iter 247: loss 1.0318, time 672.54ms, mfu 0.02%
iter 248: loss 0.9806, time 677.19ms, mfu 0.02%
iter 249: loss 0.9662, time 682.92ms, mfu 0.02%
step 250: train loss 0.9583, val loss 0.9603
saving checkpoint to out-multi
iter 250: loss 0.9398, time 10449.19ms, mfu 0.01%
iter 251: loss 0.9550, time 683.90ms, mfu 0.01%
iter 252: loss 0.9475, time 694.04ms, mfu 0.01%
iter 253: loss 0.9462, time 699.83ms, mfu 0.01%
iter 254: loss 0.9344, time 691.91ms, mfu 0.01%
iter 255: loss 0.9415, time 677.67ms, mfu 0.01%
iter 256: loss 0.9517, time 679.25ms, mfu 0.02%
iter 257: loss 0.9428, time 677.10ms, mfu 0.02%
iter 258: loss 0.9941, time 686.54ms, mfu 0.02%
iter 259: loss 0.9641, time 693.65ms, mfu 0.02%
iter 260: loss 1.0039, time 704.56ms, mfu 0.02%
iter 261: loss 0.9828, time 676.92ms, mfu 0.02%
iter 262: loss 0.9427, time 693.00ms, mfu 0.02%
iter 263: loss 0.9911, time 762.94ms, mfu 0.02%
iter 264: loss 1.0321, time 756.11ms, mfu 0.02%
iter 265: loss 0.9551, time 726.77ms, mfu 0.02%
iter 266: loss 0.9891, time 706.71ms, mfu 0.02%
iter 267: loss 1.0475, time 701.86ms, mfu 0.02%
iter 268: loss 0.9773, time 707.49ms, mfu 0.02%
iter 269: loss 0.9667, time 736.70ms, mfu 0.02%
iter 270: loss 0.9518, time 724.82ms, mfu 0.02%
iter 271: loss 0.9500, time 789.44ms, mfu 0.01%
iter 272: loss 0.9399, time 804.00ms, mfu 0.01%
iter 273: loss 0.9911, time 801.61ms, mfu 0.01%
iter 274: loss 0.9781, time 882.56ms, mfu 0.01%
iter 275: loss 0.9660, time 759.75ms, mfu 0.01%
iter 276: loss 0.9254, time 765.70ms, mfu 0.01%
iter 277: loss 0.9449, time 799.11ms, mfu 0.01%
iter 278: loss 0.9523, time 847.77ms, mfu 0.01%
iter 279: loss 0.9657, time 769.20ms, mfu 0.01%
iter 280: loss 0.9617, time 738.35ms, mfu 0.01%
iter 281: loss 0.9395, time 758.75ms, mfu 0.01%
iter 282: loss 0.9315, time 774.03ms, mfu 0.01%
iter 283: loss 0.9638, time 738.49ms, mfu 0.01%
iter 284: loss 0.9252, time 705.79ms, mfu 0.01%
iter 285: loss 0.9577, time 739.13ms, mfu 0.01%
iter 286: loss 0.9532, time 787.66ms, mfu 0.01%
iter 287: loss 0.9602, time 751.84ms, mfu 0.01%
iter 288: loss 0.9265, time 757.76ms, mfu 0.01%
iter 289: loss 0.9248, time 734.17ms, mfu 0.01%
iter 290: loss 0.9995, time 711.79ms, mfu 0.01%
iter 291: loss 1.0649, time 711.85ms, mfu 0.01%
iter 292: loss 0.9696, time 727.48ms, mfu 0.01%
iter 293: loss 0.9821, time 732.99ms, mfu 0.01%
iter 294: loss 1.0286, time 768.36ms, mfu 0.01%
iter 295: loss 0.9622, time 738.19ms, mfu 0.01%
iter 296: loss 0.9630, time 736.15ms, mfu 0.01%
iter 297: loss 0.9430, time 730.30ms, mfu 0.01%
iter 298: loss 0.9736, time 807.54ms, mfu 0.01%
iter 299: loss 0.9400, time 835.27ms, mfu 0.01%
iter 300: loss 0.9442, time 743.78ms, mfu 0.01%
iter 301: loss 0.9621, time 718.68ms, mfu 0.01%
iter 302: loss 0.9328, time 722.55ms, mfu 0.01%
iter 303: loss 0.9304, time 708.82ms, mfu 0.01%
iter 304: loss 0.9229, time 713.86ms, mfu 0.01%
iter 305: loss 0.9330, time 735.32ms, mfu 0.01%
iter 306: loss 0.9384, time 784.39ms, mfu 0.01%
iter 307: loss 0.9595, time 802.74ms, mfu 0.01%
iter 308: loss 0.9311, time 821.00ms, mfu 0.01%
iter 309: loss 0.9189, time 692.90ms, mfu 0.01%
iter 310: loss 0.9393, time 723.55ms, mfu 0.01%
iter 311: loss 0.9236, time 709.04ms, mfu 0.01%
iter 312: loss 0.9309, time 708.21ms, mfu 0.01%
iter 313: loss 1.0019, time 685.20ms, mfu 0.01%
iter 314: loss 0.9762, time 729.72ms, mfu 0.01%
iter 315: loss 0.9479, time 705.60ms, mfu 0.01%
