2023-11-22 17:50:30,489 INFO    MainThread:34207 [wandb_setup.py:_flush():76] Current SDK version is 0.16.0
2023-11-22 17:50:30,490 INFO    MainThread:34207 [wandb_setup.py:_flush():76] Configure stats pid to 34207
2023-11-22 17:50:30,490 INFO    MainThread:34207 [wandb_setup.py:_flush():76] Loading settings from /Users/msandoval/.config/wandb/settings
2023-11-22 17:50:30,490 INFO    MainThread:34207 [wandb_setup.py:_flush():76] Loading settings from /Users/msandoval/py_projects/ias/ws2324/bai/nanoGPT/wandb/settings
2023-11-22 17:50:30,490 INFO    MainThread:34207 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-11-22 17:50:30,490 INFO    MainThread:34207 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-11-22 17:50:30,490 INFO    MainThread:34207 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/Users/msandoval/py_projects/ias/ws2324/bai/nanoGPT/train.py', 'program': '/Users/msandoval/py_projects/ias/ws2324/bai/nanoGPT/train.py'}
2023-11-22 17:50:30,490 INFO    MainThread:34207 [wandb_init.py:_log_setup():524] Logging user logs to /Users/msandoval/py_projects/ias/ws2324/bai/nanoGPT/wandb/run-20231122_175030-uflc02dv/logs/debug.log
2023-11-22 17:50:30,490 INFO    MainThread:34207 [wandb_init.py:_log_setup():525] Logging internal logs to /Users/msandoval/py_projects/ias/ws2324/bai/nanoGPT/wandb/run-20231122_175030-uflc02dv/logs/debug-internal.log
2023-11-22 17:50:30,490 INFO    MainThread:34207 [wandb_init.py:init():564] calling init triggers
2023-11-22 17:50:30,490 INFO    MainThread:34207 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {'out_dir': 'out-multi', 'eval_interval': 250, 'log_interval': 1, 'eval_iters': 20, 'eval_only': False, 'always_save_checkpoint': True, 'init_from': 'gpt2', 'wandb_log': 'multiplication-log', 'wandb_project': 'multiplication-char', 'wandb_run_name': '3_digit_gpt_baby', 'dataset': 'multiplication', 'gradient_accumulation_steps': 1, 'batch_size': 12, 'block_size': 64, 'n_layer': 4, 'n_head': 4, 'n_embd': 128, 'dropout': 0.0, 'bias': False, 'learning_rate': 0.001, 'max_iters': 2000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.99, 'grad_clip': 1.0, 'decay_lr': True, 'warmup_iters': 100, 'lr_decay_iters': 2000, 'min_lr': 0.0001, 'backend': 'nccl', 'device': 'cpu', 'dtype': 'float16', 'compile': False}
2023-11-22 17:50:30,491 INFO    MainThread:34207 [wandb_init.py:init():614] starting backend
2023-11-22 17:50:30,491 INFO    MainThread:34207 [wandb_init.py:init():618] setting up manager
2023-11-22 17:50:30,493 INFO    MainThread:34207 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-11-22 17:50:30,495 INFO    MainThread:34207 [wandb_init.py:init():624] backend started and connected
2023-11-22 17:50:30,500 INFO    MainThread:34207 [wandb_init.py:init():716] updated telemetry
2023-11-22 17:50:30,571 INFO    MainThread:34207 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2023-11-22 17:50:31,062 INFO    MainThread:34207 [wandb_run.py:_on_init():2254] communicating current version
2023-11-22 17:50:31,198 INFO    MainThread:34207 [wandb_run.py:_on_init():2263] got version response 
2023-11-22 17:50:31,198 INFO    MainThread:34207 [wandb_init.py:init():800] starting run threads in backend
2023-11-22 17:50:31,328 INFO    MainThread:34207 [wandb_run.py:_console_start():2233] atexit reg
2023-11-22 17:50:31,329 INFO    MainThread:34207 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2023-11-22 17:50:31,329 INFO    MainThread:34207 [wandb_run.py:_redirect():2153] Wrapping output streams.
2023-11-22 17:50:31,329 INFO    MainThread:34207 [wandb_run.py:_redirect():2178] Redirects installed.
2023-11-22 17:50:31,331 INFO    MainThread:34207 [wandb_init.py:init():841] run started, returning control to user process
2023-11-22 17:56:13,696 WARNING MsgRouterThr:34207 [router.py:message_loop():77] message_loop has been closed
