
step 0: train loss 10.7700, val loss 10.7748
iter 0: loss 10.7723, time 11551.38ms, mfu -100.00%
iter 1: loss 10.7764, time 694.80ms, mfu -100.00%
iter 2: loss 10.7278, time 696.90ms, mfu -100.00%
iter 3: loss 10.6585, time 669.30ms, mfu -100.00%
iter 4: loss 10.5575, time 660.47ms, mfu -100.00%
iter 5: loss 10.4383, time 666.75ms, mfu 0.02%
iter 6: loss 10.2833, time 667.06ms, mfu 0.02%
iter 7: loss 10.1643, time 662.15ms, mfu 0.02%
iter 8: loss 10.0595, time 665.90ms, mfu 0.02%
iter 9: loss 9.9723, time 697.77ms, mfu 0.02%
iter 10: loss 9.8999, time 662.13ms, mfu 0.02%
iter 11: loss 9.8386, time 663.76ms, mfu 0.02%
iter 12: loss 9.7708, time 664.60ms, mfu 0.02%
iter 13: loss 9.7056, time 658.46ms, mfu 0.02%
iter 14: loss 9.6421, time 666.76ms, mfu 0.02%
iter 15: loss 9.5581, time 670.72ms, mfu 0.02%
iter 16: loss 9.4666, time 684.75ms, mfu 0.02%
iter 17: loss 9.3697, time 703.85ms, mfu 0.02%
iter 18: loss 9.2888, time 742.80ms, mfu 0.02%
iter 19: loss 9.2027, time 727.65ms, mfu 0.02%
iter 20: loss 9.1339, time 671.68ms, mfu 0.02%
iter 21: loss 9.0702, time 658.48ms, mfu 0.02%
iter 22: loss 8.9954, time 657.92ms, mfu 0.02%
iter 23: loss 8.9087, time 740.08ms, mfu 0.02%
iter 24: loss 8.8427, time 757.52ms, mfu 0.02%
iter 25: loss 8.7789, time 748.20ms, mfu 0.02%
iter 26: loss 8.7028, time 722.96ms, mfu 0.02%
iter 27: loss 8.6345, time 665.19ms, mfu 0.02%
iter 28: loss 8.5821, time 706.19ms, mfu 0.02%
iter 29: loss 8.5101, time 751.52ms, mfu 0.02%
iter 30: loss 8.4432, time 757.55ms, mfu 0.02%
iter 31: loss 8.3769, time 764.30ms, mfu 0.02%
iter 32: loss 8.3075, time 706.86ms, mfu 0.02%
iter 33: loss 8.2240, time 708.30ms, mfu 0.02%
iter 34: loss 8.1655, time 667.93ms, mfu 0.02%
iter 35: loss 8.0938, time 656.84ms, mfu 0.02%
iter 36: loss 8.0161, time 653.81ms, mfu 0.02%
iter 37: loss 7.9400, time 667.72ms, mfu 0.02%
iter 38: loss 7.8445, time 663.66ms, mfu 0.02%
iter 39: loss 7.7553, time 659.74ms, mfu 0.02%
iter 40: loss 7.6865, time 669.86ms, mfu 0.02%
iter 41: loss 7.5829, time 655.43ms, mfu 0.02%
iter 42: loss 7.4890, time 657.71ms, mfu 0.02%
iter 43: loss 7.4016, time 691.88ms, mfu 0.02%
iter 44: loss 7.2917, time 697.97ms, mfu 0.02%
iter 45: loss 7.1871, time 657.38ms, mfu 0.02%
iter 46: loss 7.0768, time 668.77ms, mfu 0.02%
iter 47: loss 6.9840, time 690.76ms, mfu 0.02%
iter 48: loss 6.8578, time 682.50ms, mfu 0.02%
iter 49: loss 6.7602, time 671.75ms, mfu 0.02%
iter 50: loss 6.6314, time 671.84ms, mfu 0.02%
iter 51: loss 6.4933, time 668.00ms, mfu 0.02%
iter 52: loss 6.3822, time 667.78ms, mfu 0.02%
iter 53: loss 6.2459, time 671.83ms, mfu 0.02%
iter 54: loss 6.1084, time 669.13ms, mfu 0.02%
iter 55: loss 5.9850, time 662.19ms, mfu 0.02%
iter 56: loss 5.8375, time 663.39ms, mfu 0.02%
iter 57: loss 5.6932, time 670.22ms, mfu 0.02%
iter 58: loss 5.5493, time 662.91ms, mfu 0.02%
iter 59: loss 5.4104, time 664.49ms, mfu 0.02%
iter 60: loss 5.2594, time 667.19ms, mfu 0.02%
iter 61: loss 5.0998, time 666.97ms, mfu 0.02%
iter 62: loss 4.9438, time 662.13ms, mfu 0.02%
iter 63: loss 4.7909, time 676.01ms, mfu 0.02%
iter 64: loss 4.6176, time 674.05ms, mfu 0.02%
iter 65: loss 4.4671, time 658.02ms, mfu 0.02%
iter 66: loss 4.2982, time 663.98ms, mfu 0.02%
iter 67: loss 4.1439, time 678.46ms, mfu 0.02%
iter 68: loss 3.9707, time 657.95ms, mfu 0.02%
iter 69: loss 3.7992, time 658.45ms, mfu 0.02%
iter 70: loss 3.6624, time 669.13ms, mfu 0.02%
iter 71: loss 3.5003, time 661.18ms, mfu 0.02%
iter 72: loss 3.3325, time 663.53ms, mfu 0.02%
iter 73: loss 3.2082, time 664.43ms, mfu 0.02%
iter 74: loss 3.0569, time 673.43ms, mfu 0.02%
iter 75: loss 2.9034, time 661.05ms, mfu 0.02%
iter 76: loss 2.7837, time 671.96ms, mfu 0.02%
