step 0: train loss 10.7557, val loss 10.7643
iter 0: loss 10.7669, time 11353.01ms, mfu -100.00%
iter 1: loss 10.7520, time 677.19ms, mfu -100.00%
iter 2: loss 10.7147, time 676.89ms, mfu -100.00%
iter 3: loss 10.6551, time 680.90ms, mfu -100.00%
iter 4: loss 10.5628, time 677.71ms, mfu -100.00%
iter 5: loss 10.4275, time 669.13ms, mfu 0.02%
iter 6: loss 10.3120, time 685.55ms, mfu 0.02%
iter 7: loss 10.1862, time 669.77ms, mfu 0.02%
iter 8: loss 10.0802, time 676.33ms, mfu 0.02%
iter 9: loss 9.9915, time 850.00ms, mfu 0.02%
iter 10: loss 9.9052, time 793.02ms, mfu 0.02%
iter 11: loss 9.8410, time 699.80ms, mfu 0.02%
iter 12: loss 9.7903, time 794.72ms, mfu 0.02%
iter 13: loss 9.7268, time 941.79ms, mfu 0.01%
iter 14: loss 9.6346, time 699.82ms, mfu 0.01%
iter 15: loss 9.5547, time 802.17ms, mfu 0.01%
iter 16: loss 9.4599, time 717.49ms, mfu 0.01%
iter 17: loss 9.3837, time 806.59ms, mfu 0.01%
iter 18: loss 9.3323, time 777.64ms, mfu 0.01%
iter 19: loss 9.2564, time 746.97ms, mfu 0.01%
iter 20: loss 9.1712, time 715.06ms, mfu 0.01%
iter 21: loss 9.1183, time 807.82ms, mfu 0.01%
iter 22: loss 9.0417, time 888.19ms, mfu 0.01%
iter 23: loss 8.9652, time 785.98ms, mfu 0.01%
iter 24: loss 8.8934, time 852.88ms, mfu 0.01%
iter 25: loss 8.8228, time 864.28ms, mfu 0.01%
iter 26: loss 8.7779, time 818.61ms, mfu 0.01%
iter 27: loss 8.7080, time 778.65ms, mfu 0.01%
iter 28: loss 8.6468, time 705.55ms, mfu 0.01%
iter 29: loss 8.5693, time 692.11ms, mfu 0.01%
iter 30: loss 8.5076, time 702.39ms, mfu 0.01%
iter 31: loss 8.4356, time 757.71ms, mfu 0.01%
iter 32: loss 8.3534, time 975.70ms, mfu 0.01%
iter 33: loss 8.2700, time 747.71ms, mfu 0.01%
iter 34: loss 8.2068, time 714.26ms, mfu 0.01%
iter 35: loss 8.1316, time 735.40ms, mfu 0.01%
iter 36: loss 8.0548, time 726.69ms, mfu 0.01%
iter 37: loss 7.9688, time 762.43ms, mfu 0.01%
iter 38: loss 7.8888, time 728.97ms, mfu 0.01%
iter 39: loss 7.7983, time 719.46ms, mfu 0.01%
iter 40: loss 7.7235, time 709.45ms, mfu 0.01%
iter 41: loss 7.6455, time 745.09ms, mfu 0.01%
iter 42: loss 7.5516, time 697.93ms, mfu 0.01%
iter 43: loss 7.4240, time 708.23ms, mfu 0.01%
iter 44: loss 7.3327, time 717.76ms, mfu 0.01%
iter 45: loss 7.2261, time 694.19ms, mfu 0.01%
iter 46: loss 7.1300, time 731.97ms, mfu 0.01%
iter 47: loss 7.0047, time 717.02ms, mfu 0.01%
iter 48: loss 6.8979, time 727.84ms, mfu 0.01%
iter 49: loss 6.7854, time 725.80ms, mfu 0.01%
iter 50: loss 6.6591, time 814.71ms, mfu 0.01%
iter 51: loss 6.5212, time 731.63ms, mfu 0.01%
iter 52: loss 6.4011, time 712.36ms, mfu 0.01%
iter 53: loss 6.2726, time 757.06ms, mfu 0.01%
iter 54: loss 6.1202, time 724.60ms, mfu 0.01%
iter 55: loss 5.9956, time 745.95ms, mfu 0.01%
iter 56: loss 5.8448, time 742.29ms, mfu 0.01%
iter 57: loss 5.7125, time 751.35ms, mfu 0.01%
iter 58: loss 5.5690, time 720.84ms, mfu 0.01%
iter 59: loss 5.4068, time 723.44ms, mfu 0.01%
iter 60: loss 5.2815, time 678.15ms, mfu 0.01%
iter 61: loss 5.0991, time 710.39ms, mfu 0.01%
iter 62: loss 4.9474, time 680.01ms, mfu 0.01%
iter 63: loss 4.8052, time 710.50ms, mfu 0.01%
iter 64: loss 4.6254, time 681.95ms, mfu 0.02%
iter 65: loss 4.4750, time 706.14ms, mfu 0.02%
iter 66: loss 4.3070, time 677.91ms, mfu 0.02%
iter 67: loss 4.1284, time 689.05ms, mfu 0.02%
iter 68: loss 3.9923, time 664.19ms, mfu 0.02%
iter 69: loss 3.8028, time 666.34ms, mfu 0.02%
iter 70: loss 3.6715, time 676.06ms, mfu 0.02%
iter 71: loss 3.5151, time 671.83ms, mfu 0.02%
iter 72: loss 3.3445, time 684.69ms, mfu 0.02%
iter 73: loss 3.2122, time 663.74ms, mfu 0.02%
iter 74: loss 3.0711, time 653.14ms, mfu 0.02%
iter 75: loss 2.9225, time 656.21ms, mfu 0.02%
iter 76: loss 2.7812, time 660.79ms, mfu 0.02%
iter 77: loss 2.6692, time 658.87ms, mfu 0.02%
iter 78: loss 2.5549, time 671.25ms, mfu 0.02%
iter 79: loss 2.4679, time 708.50ms, mfu 0.02%
iter 80: loss 2.3747, time 673.75ms, mfu 0.02%
iter 81: loss 2.2401, time 687.82ms, mfu 0.02%
iter 82: loss 2.1600, time 667.71ms, mfu 0.02%
iter 83: loss 2.1130, time 667.03ms, mfu 0.02%
iter 84: loss 2.0016, time 675.45ms, mfu 0.02%
iter 85: loss 1.9189, time 715.38ms, mfu 0.02%
iter 86: loss 1.8652, time 693.82ms, mfu 0.02%
iter 87: loss 1.7656, time 734.21ms, mfu 0.02%
iter 88: loss 1.7171, time 669.54ms, mfu 0.02%
iter 89: loss 1.6904, time 729.46ms, mfu 0.02%
iter 90: loss 1.6123, time 654.53ms, mfu 0.02%
iter 91: loss 1.5544, time 656.90ms, mfu 0.02%
iter 92: loss 1.5224, time 657.11ms, mfu 0.02%
iter 93: loss 1.4559, time 664.77ms, mfu 0.02%
iter 94: loss 1.4325, time 660.29ms, mfu 0.02%
iter 95: loss 1.4097, time 685.02ms, mfu 0.02%
iter 96: loss 1.3654, time 669.89ms, mfu 0.02%
iter 97: loss 1.3737, time 655.14ms, mfu 0.02%
iter 98: loss 1.2847, time 660.93ms, mfu 0.02%
iter 99: loss 1.2724, time 693.51ms, mfu 0.02%
iter 100: loss 1.2242, time 690.70ms, mfu 0.02%
iter 101: loss 1.1656, time 685.27ms, mfu 0.02%
iter 102: loss 1.1952, time 677.22ms, mfu 0.02%
iter 103: loss 1.1470, time 657.79ms, mfu 0.02%
iter 104: loss 1.0989, time 665.21ms, mfu 0.02%
iter 105: loss 1.0937, time 671.94ms, mfu 0.02%
iter 106: loss 1.0709, time 689.69ms, mfu 0.02%
iter 107: loss 0.9937, time 686.68ms, mfu 0.02%
iter 108: loss 1.0127, time 654.77ms, mfu 0.02%
iter 109: loss 1.0214, time 660.43ms, mfu 0.02%
iter 110: loss 0.9903, time 671.81ms, mfu 0.02%
iter 111: loss 0.9638, time 660.26ms, mfu 0.02%
iter 112: loss 0.9089, time 671.22ms, mfu 0.02%
iter 113: loss 0.8536, time 727.59ms, mfu 0.02%
iter 114: loss 0.8563, time 723.01ms, mfu 0.02%
