step 0: train loss 10.7547, val loss 10.7566
iter 0: loss 10.7594, time 10379.47ms, mfu -100.00%
iter 1: loss 10.7590, time 649.38ms, mfu -100.00%
iter 2: loss 10.7290, time 658.54ms, mfu -100.00%
iter 3: loss 10.6689, time 649.47ms, mfu -100.00%
iter 4: loss 10.5793, time 645.63ms, mfu -100.00%
iter 5: loss 10.4509, time 644.57ms, mfu 0.02%
iter 6: loss 10.3415, time 640.87ms, mfu 0.02%
iter 7: loss 10.2289, time 643.80ms, mfu 0.02%
iter 8: loss 10.1415, time 647.25ms, mfu 0.02%
iter 9: loss 10.0430, time 642.29ms, mfu 0.02%
iter 10: loss 9.9660, time 643.32ms, mfu 0.02%
iter 11: loss 9.9103, time 638.61ms, mfu 0.02%
iter 12: loss 9.8402, time 655.38ms, mfu 0.02%
iter 13: loss 9.7984, time 649.51ms, mfu 0.02%
iter 14: loss 9.7289, time 719.74ms, mfu 0.02%
iter 15: loss 9.6340, time 775.98ms, mfu 0.02%
iter 16: loss 9.5543, time 727.60ms, mfu 0.02%
iter 17: loss 9.4508, time 640.17ms, mfu 0.02%
iter 18: loss 9.4267, time 641.84ms, mfu 0.02%
iter 19: loss 9.3533, time 642.19ms, mfu 0.02%
iter 20: loss 9.2975, time 693.22ms, mfu 0.02%
iter 21: loss 9.2022, time 649.49ms, mfu 0.02%
iter 22: loss 9.1294, time 647.77ms, mfu 0.02%
iter 23: loss 9.0586, time 627.36ms, mfu 0.02%
iter 24: loss 8.9958, time 633.34ms, mfu 0.02%
iter 25: loss 8.9533, time 628.08ms, mfu 0.02%
iter 26: loss 8.8651, time 628.98ms, mfu 0.02%
iter 27: loss 8.7993, time 627.92ms, mfu 0.02%
iter 28: loss 8.7479, time 634.97ms, mfu 0.02%
iter 29: loss 8.6762, time 682.73ms, mfu 0.02%
iter 30: loss 8.6182, time 666.79ms, mfu 0.02%
iter 31: loss 8.5362, time 755.77ms, mfu 0.02%
iter 32: loss 8.4773, time 773.39ms, mfu 0.02%
iter 33: loss 8.4058, time 657.44ms, mfu 0.02%
iter 34: loss 8.3181, time 670.82ms, mfu 0.02%
iter 35: loss 8.2629, time 685.90ms, mfu 0.02%
iter 36: loss 8.1601, time 714.81ms, mfu 0.02%
iter 37: loss 8.0732, time 664.03ms, mfu 0.02%
iter 38: loss 8.0027, time 676.13ms, mfu 0.02%
iter 39: loss 7.8984, time 646.22ms, mfu 0.02%
iter 40: loss 7.8249, time 668.15ms, mfu 0.02%
iter 41: loss 7.7296, time 676.95ms, mfu 0.02%
