step 0: train loss 10.7572, val loss 10.7533
iter 0: loss 10.7466, time 10359.75ms, mfu -100.00%
iter 1: loss 10.7727, time 656.77ms, mfu -100.00%
iter 2: loss 10.7190, time 664.10ms, mfu -100.00%
iter 3: loss 10.6772, time 652.29ms, mfu -100.00%
iter 4: loss 10.6141, time 652.70ms, mfu -100.00%
iter 5: loss 10.5145, time 697.01ms, mfu 0.02%
iter 6: loss 10.4320, time 737.96ms, mfu 0.02%
iter 7: loss 10.3423, time 954.18ms, mfu 0.01%
iter 8: loss 10.2228, time 1429.98ms, mfu 0.01%
iter 9: loss 10.1349, time 665.92ms, mfu 0.01%
iter 10: loss 10.0819, time 688.29ms, mfu 0.01%
iter 11: loss 10.0066, time 753.81ms, mfu 0.01%
iter 12: loss 9.9499, time 692.00ms, mfu 0.01%
iter 13: loss 9.9174, time 707.06ms, mfu 0.01%
iter 14: loss 9.8506, time 694.56ms, mfu 0.01%
iter 15: loss 9.7835, time 778.81ms, mfu 0.01%
iter 16: loss 9.7058, time 747.69ms, mfu 0.01%
iter 17: loss 9.6333, time 765.74ms, mfu 0.01%
iter 18: loss 9.5767, time 831.94ms, mfu 0.01%
iter 19: loss 9.5277, time 794.83ms, mfu 0.01%
iter 20: loss 9.4512, time 715.56ms, mfu 0.01%
iter 21: loss 9.3944, time 675.22ms, mfu 0.01%
iter 22: loss 9.3273, time 716.68ms, mfu 0.01%
iter 23: loss 9.2633, time 715.51ms, mfu 0.01%
iter 24: loss 9.1825, time 683.62ms, mfu 0.01%
iter 25: loss 9.1223, time 646.82ms, mfu 0.01%
iter 26: loss 9.0630, time 672.96ms, mfu 0.02%
iter 27: loss 8.9895, time 660.48ms, mfu 0.02%
iter 28: loss 8.9018, time 668.09ms, mfu 0.02%
iter 29: loss 8.8557, time 659.31ms, mfu 0.02%
iter 30: loss 8.7806, time 666.11ms, mfu 0.02%
iter 31: loss 8.7228, time 644.68ms, mfu 0.02%
iter 32: loss 8.6401, time 664.45ms, mfu 0.02%
iter 33: loss 8.5502, time 680.25ms, mfu 0.02%
iter 34: loss 8.4763, time 742.99ms, mfu 0.02%
iter 35: loss 8.4079, time 680.72ms, mfu 0.02%
iter 36: loss 8.3215, time 689.84ms, mfu 0.02%
iter 37: loss 8.2178, time 667.73ms, mfu 0.02%
iter 38: loss 8.1433, time 643.94ms, mfu 0.02%
iter 39: loss 8.0515, time 637.86ms, mfu 0.02%
iter 40: loss 7.9587, time 718.86ms, mfu 0.02%
iter 41: loss 7.8533, time 667.29ms, mfu 0.02%
iter 42: loss 7.7523, time 652.51ms, mfu 0.02%
iter 43: loss 7.6468, time 685.98ms, mfu 0.02%
iter 44: loss 7.5351, time 698.64ms, mfu 0.02%
iter 45: loss 7.4401, time 696.24ms, mfu 0.02%
iter 46: loss 7.3238, time 683.05ms, mfu 0.02%
iter 47: loss 7.2062, time 671.65ms, mfu 0.02%
iter 48: loss 7.0931, time 757.50ms, mfu 0.02%
iter 49: loss 6.9563, time 761.01ms, mfu 0.02%
iter 50: loss 6.8415, time 684.86ms, mfu 0.02%
iter 51: loss 6.7203, time 658.76ms, mfu 0.02%
iter 52: loss 6.5584, time 651.80ms, mfu 0.02%
iter 53: loss 6.4403, time 687.43ms, mfu 0.02%
iter 54: loss 6.3042, time 648.22ms, mfu 0.02%
iter 55: loss 6.1717, time 687.03ms, mfu 0.02%
iter 56: loss 6.0065, time 676.29ms, mfu 0.02%
iter 57: loss 5.8821, time 667.13ms, mfu 0.02%
iter 58: loss 5.7159, time 691.24ms, mfu 0.02%
iter 59: loss 5.5505, time 744.51ms, mfu 0.02%
iter 60: loss 5.3924, time 1077.63ms, mfu 0.02%
iter 61: loss 5.2535, time 1013.51ms, mfu 0.01%
iter 62: loss 5.0940, time 710.86ms, mfu 0.01%
iter 63: loss 4.9196, time 702.16ms, mfu 0.01%
iter 64: loss 4.7681, time 690.39ms, mfu 0.01%
iter 65: loss 4.6063, time 655.37ms, mfu 0.02%
iter 66: loss 4.4575, time 664.66ms, mfu 0.02%
iter 67: loss 4.2887, time 678.55ms, mfu 0.02%
iter 68: loss 4.1241, time 688.17ms, mfu 0.02%
iter 69: loss 3.9716, time 663.10ms, mfu 0.02%
iter 70: loss 3.8283, time 651.09ms, mfu 0.02%
iter 71: loss 3.6714, time 732.61ms, mfu 0.02%
iter 72: loss 3.5380, time 666.15ms, mfu 0.02%
iter 73: loss 3.4253, time 671.14ms, mfu 0.02%
iter 74: loss 3.3063, time 722.40ms, mfu 0.02%
iter 75: loss 3.1579, time 693.26ms, mfu 0.02%
iter 76: loss 3.1019, time 655.97ms, mfu 0.02%
iter 77: loss 2.9571, time 645.56ms, mfu 0.02%
iter 78: loss 2.8571, time 663.79ms, mfu 0.02%
iter 79: loss 2.7721, time 652.85ms, mfu 0.02%
iter 80: loss 2.6740, time 664.23ms, mfu 0.02%
iter 81: loss 2.5919, time 651.47ms, mfu 0.02%
iter 82: loss 2.5041, time 672.06ms, mfu 0.02%
iter 83: loss 2.4351, time 646.77ms, mfu 0.02%
iter 84: loss 2.3680, time 698.60ms, mfu 0.02%
iter 85: loss 2.3104, time 668.75ms, mfu 0.02%
iter 86: loss 2.2489, time 697.48ms, mfu 0.02%
iter 87: loss 2.1685, time 665.33ms, mfu 0.02%
iter 88: loss 2.1451, time 747.74ms, mfu 0.02%
iter 89: loss 2.0900, time 848.11ms, mfu 0.02%
iter 90: loss 2.0815, time 728.88ms, mfu 0.02%
iter 91: loss 1.9947, time 870.33ms, mfu 0.02%
iter 92: loss 1.9878, time 779.33ms, mfu 0.01%
iter 93: loss 1.9351, time 898.63ms, mfu 0.01%
iter 94: loss 1.8760, time 782.16ms, mfu 0.01%
iter 95: loss 1.8756, time 787.47ms, mfu 0.01%
iter 96: loss 1.7993, time 709.78ms, mfu 0.01%
iter 97: loss 1.7736, time 997.45ms, mfu 0.01%
iter 98: loss 1.7188, time 1004.22ms, mfu 0.01%
iter 99: loss 1.7423, time 863.39ms, mfu 0.01%
