
step 0: train loss 10.7572, val loss 10.7533
iter 0: loss 10.7466, time 11157.76ms, mfu -100.00%
iter 1: loss 10.7727, time 698.07ms, mfu -100.00%
iter 2: loss 10.7190, time 667.76ms, mfu -100.00%
iter 3: loss 10.6772, time 657.56ms, mfu -100.00%
iter 4: loss 10.6141, time 660.66ms, mfu -100.00%
iter 5: loss 10.5145, time 716.91ms, mfu 0.02%
iter 6: loss 10.4320, time 701.43ms, mfu 0.02%
iter 7: loss 10.3423, time 756.89ms, mfu 0.01%
iter 8: loss 10.2228, time 1144.20ms, mfu 0.01%
iter 9: loss 10.1349, time 1349.59ms, mfu 0.01%
iter 10: loss 10.0819, time 739.58ms, mfu 0.01%
iter 11: loss 10.0066, time 683.98ms, mfu 0.01%
