step 0: train loss 10.7592, val loss 10.7430
iter 0: loss 10.7590, time 10045.69ms, mfu -100.00%
iter 1: loss 10.7561, time 575.65ms, mfu -100.00%
iter 2: loss 10.7315, time 828.66ms, mfu -100.00%
iter 3: loss 10.6517, time 766.93ms, mfu -100.00%
iter 4: loss 10.5649, time 802.93ms, mfu -100.00%
iter 5: loss 10.4400, time 747.43ms, mfu 0.01%
iter 6: loss 10.3033, time 815.67ms, mfu 0.01%
iter 7: loss 10.1882, time 721.12ms, mfu 0.01%
iter 8: loss 10.0794, time 859.14ms, mfu 0.01%
iter 9: loss 9.9813, time 875.77ms, mfu 0.01%
iter 10: loss 9.9185, time 823.82ms, mfu 0.01%
iter 11: loss 9.8414, time 817.38ms, mfu 0.01%
iter 12: loss 9.7728, time 784.94ms, mfu 0.01%
iter 13: loss 9.7109, time 831.45ms, mfu 0.01%
iter 14: loss 9.6552, time 772.56ms, mfu 0.01%
iter 15: loss 9.5560, time 890.96ms, mfu 0.01%
iter 16: loss 9.4685, time 730.14ms, mfu 0.01%
iter 17: loss 9.3907, time 775.56ms, mfu 0.01%
iter 18: loss 9.3235, time 751.70ms, mfu 0.01%
iter 19: loss 9.2559, time 858.96ms, mfu 0.01%
iter 20: loss 9.1963, time 739.56ms, mfu 0.01%
iter 21: loss 9.1001, time 813.48ms, mfu 0.01%
iter 22: loss 9.0347, time 888.78ms, mfu 0.01%
iter 23: loss 8.9711, time 811.32ms, mfu 0.01%
iter 24: loss 8.8904, time 785.42ms, mfu 0.01%
iter 25: loss 8.8157, time 796.98ms, mfu 0.01%
iter 26: loss 8.7784, time 784.81ms, mfu 0.01%
iter 27: loss 8.6944, time 830.20ms, mfu 0.01%
iter 28: loss 8.6379, time 851.91ms, mfu 0.01%
iter 29: loss 8.5670, time 844.12ms, mfu 0.01%
iter 30: loss 8.5078, time 820.90ms, mfu 0.01%
iter 31: loss 8.4439, time 832.43ms, mfu 0.01%
iter 32: loss 8.3638, time 707.95ms, mfu 0.01%
iter 33: loss 8.2976, time 746.31ms, mfu 0.01%
iter 34: loss 8.2151, time 753.64ms, mfu 0.01%
iter 35: loss 8.1364, time 917.96ms, mfu 0.01%
iter 36: loss 8.0673, time 838.69ms, mfu 0.01%
iter 37: loss 7.9749, time 898.11ms, mfu 0.01%
iter 38: loss 7.9123, time 789.47ms, mfu 0.01%
iter 39: loss 7.8172, time 783.76ms, mfu 0.01%
iter 40: loss 7.7261, time 783.02ms, mfu 0.01%
iter 41: loss 7.6176, time 800.62ms, mfu 0.01%
iter 42: loss 7.5468, time 909.65ms, mfu 0.01%
iter 43: loss 7.4366, time 758.93ms, mfu 0.01%
iter 44: loss 7.3426, time 864.84ms, mfu 0.01%
iter 45: loss 7.2378, time 1120.33ms, mfu 0.01%
iter 46: loss 7.1235, time 970.35ms, mfu 0.01%
iter 47: loss 7.0218, time 1144.52ms, mfu 0.01%
iter 48: loss 6.9196, time 1019.66ms, mfu 0.01%
iter 49: loss 6.7846, time 844.02ms, mfu 0.01%
iter 50: loss 6.6721, time 751.14ms, mfu 0.01%
iter 51: loss 6.5640, time 813.71ms, mfu 0.01%
iter 52: loss 6.4109, time 800.41ms, mfu 0.01%
iter 53: loss 6.2862, time 782.92ms, mfu 0.01%
iter 54: loss 6.1619, time 907.30ms, mfu 0.01%
iter 55: loss 5.9992, time 859.32ms, mfu 0.01%
iter 56: loss 5.8815, time 752.50ms, mfu 0.01%
iter 57: loss 5.7042, time 924.20ms, mfu 0.01%
iter 58: loss 5.5830, time 804.41ms, mfu 0.01%
iter 59: loss 5.4442, time 886.31ms, mfu 0.01%
iter 60: loss 5.2844, time 939.97ms, mfu 0.01%
iter 61: loss 5.1277, time 1173.83ms, mfu 0.01%
iter 62: loss 4.9577, time 947.15ms, mfu 0.01%
iter 63: loss 4.8030, time 1116.92ms, mfu 0.01%
iter 64: loss 4.6354, time 1458.83ms, mfu 0.01%
iter 65: loss 4.4688, time 1137.43ms, mfu 0.01%
iter 66: loss 4.3103, time 1349.64ms, mfu 0.01%
iter 67: loss 4.1641, time 1047.00ms, mfu 0.01%
iter 68: loss 4.0020, time 1068.77ms, mfu 0.01%
iter 69: loss 3.8222, time 1087.51ms, mfu 0.01%
iter 70: loss 3.6512, time 1102.69ms, mfu 0.01%
iter 71: loss 3.5032, time 1083.87ms, mfu 0.01%
iter 72: loss 3.3412, time 1114.21ms, mfu 0.01%
iter 73: loss 3.2050, time 1022.47ms, mfu 0.01%
iter 74: loss 3.0718, time 1078.01ms, mfu 0.01%
iter 75: loss 2.8993, time 1068.42ms, mfu 0.01%
iter 76: loss 2.7632, time 1098.04ms, mfu 0.01%
iter 77: loss 2.6663, time 1144.49ms, mfu 0.01%
iter 78: loss 2.5276, time 1057.92ms, mfu 0.01%
iter 79: loss 2.4399, time 1080.56ms, mfu 0.01%
iter 80: loss 2.3610, time 1100.84ms, mfu 0.01%
iter 81: loss 2.2414, time 1034.11ms, mfu 0.01%
iter 82: loss 2.1605, time 1033.74ms, mfu 0.01%
iter 83: loss 2.0634, time 1113.20ms, mfu 0.01%
iter 84: loss 1.9813, time 1005.35ms, mfu 0.01%
iter 85: loss 1.9721, time 1079.29ms, mfu 0.01%
iter 86: loss 1.8454, time 1067.17ms, mfu 0.01%
iter 87: loss 1.8451, time 1050.49ms, mfu 0.01%
iter 88: loss 1.7219, time 1096.15ms, mfu 0.01%
iter 89: loss 1.6750, time 1102.33ms, mfu 0.01%
iter 90: loss 1.6616, time 1035.52ms, mfu 0.01%
iter 91: loss 1.5766, time 1095.20ms, mfu 0.01%
iter 92: loss 1.5124, time 1053.05ms, mfu 0.01%
iter 93: loss 1.4796, time 1084.14ms, mfu 0.01%
iter 94: loss 1.4404, time 1064.77ms, mfu 0.01%
iter 95: loss 1.4700, time 1083.67ms, mfu 0.01%
iter 96: loss 1.4018, time 1034.43ms, mfu 0.01%
iter 97: loss 1.3873, time 1095.33ms, mfu 0.01%
iter 98: loss 1.3271, time 1071.64ms, mfu 0.01%
iter 99: loss 1.2724, time 1064.45ms, mfu 0.01%
iter 100: loss 1.2820, time 1034.50ms, mfu 0.01%
iter 101: loss 1.2206, time 1097.89ms, mfu 0.01%
iter 102: loss 1.1837, time 1133.47ms, mfu 0.01%
iter 103: loss 1.2246, time 1321.73ms, mfu 0.01%
iter 104: loss 1.1437, time 1204.11ms, mfu 0.01%
iter 105: loss 1.1686, time 1075.48ms, mfu 0.01%
iter 106: loss 1.1594, time 1053.48ms, mfu 0.01%
iter 107: loss 1.1004, time 1077.04ms, mfu 0.01%
iter 108: loss 1.0479, time 1039.51ms, mfu 0.01%
iter 109: loss 1.0859, time 1028.95ms, mfu 0.01%
iter 110: loss 1.0279, time 1021.68ms, mfu 0.01%
iter 111: loss 1.0847, time 1093.86ms, mfu 0.01%
iter 112: loss 0.9910, time 1067.74ms, mfu 0.01%
iter 113: loss 1.0070, time 1160.39ms, mfu 0.01%
iter 114: loss 0.9474, time 1088.64ms, mfu 0.01%
iter 115: loss 0.9497, time 1083.07ms, mfu 0.01%
iter 116: loss 0.9550, time 1065.41ms, mfu 0.01%
iter 117: loss 0.8812, time 1080.43ms, mfu 0.01%
iter 118: loss 0.8837, time 1069.77ms, mfu 0.01%
iter 119: loss 0.8729, time 1291.41ms, mfu 0.01%
iter 120: loss 0.8337, time 1217.52ms, mfu 0.01%
iter 121: loss 0.8447, time 1092.81ms, mfu 0.01%
iter 122: loss 0.8495, time 1098.53ms, mfu 0.01%
iter 123: loss 0.7909, time 1099.28ms, mfu 0.01%
iter 124: loss 0.7764, time 1238.55ms, mfu 0.01%
iter 125: loss 0.7546, time 1097.47ms, mfu 0.01%
iter 126: loss 0.7581, time 1063.39ms, mfu 0.01%
iter 127: loss 0.7182, time 1065.33ms, mfu 0.01%
iter 128: loss 0.7386, time 1051.80ms, mfu 0.01%
iter 129: loss 0.7203, time 1084.35ms, mfu 0.01%
iter 130: loss 0.7010, time 1269.27ms, mfu 0.01%
iter 131: loss 0.6557, time 1350.21ms, mfu 0.01%
iter 132: loss 0.6699, time 1239.80ms, mfu 0.01%
iter 133: loss 0.6422, time 1136.13ms, mfu 0.01%
iter 134: loss 0.6627, time 1021.31ms, mfu 0.01%
iter 135: loss 0.6538, time 1097.74ms, mfu 0.01%
iter 136: loss 0.6541, time 1071.86ms, mfu 0.01%
iter 137: loss 0.6573, time 1061.75ms, mfu 0.01%
iter 138: loss 0.5889, time 1068.32ms, mfu 0.01%
iter 139: loss 0.6381, time 1092.90ms, mfu 0.01%
iter 140: loss 0.6532, time 1008.77ms, mfu 0.01%
iter 141: loss 0.5743, time 1176.17ms, mfu 0.01%
iter 142: loss 0.6102, time 1069.36ms, mfu 0.01%
iter 143: loss 0.6314, time 1082.75ms, mfu 0.01%
iter 144: loss 0.5572, time 1160.66ms, mfu 0.01%
iter 145: loss 0.6058, time 1088.76ms, mfu 0.01%
iter 146: loss 0.6061, time 1099.16ms, mfu 0.01%
iter 147: loss 0.5633, time 1035.89ms, mfu 0.01%
iter 148: loss 0.5940, time 1034.14ms, mfu 0.01%
iter 149: loss 0.5585, time 1040.80ms, mfu 0.01%
iter 150: loss 0.5692, time 979.11ms, mfu 0.01%
iter 151: loss 0.5824, time 954.12ms, mfu 0.01%
iter 152: loss 0.5836, time 962.62ms, mfu 0.01%
iter 153: loss 0.5585, time 1045.86ms, mfu 0.01%
iter 154: loss 0.5467, time 1033.52ms, mfu 0.01%
iter 155: loss 0.5232, time 1033.42ms, mfu 0.01%
iter 156: loss 0.5362, time 1017.12ms, mfu 0.01%
iter 157: loss 0.5524, time 1146.27ms, mfu 0.01%
iter 158: loss 0.5135, time 1290.12ms, mfu 0.01%
iter 159: loss 0.5177, time 1478.00ms, mfu 0.01%
iter 160: loss 0.5010, time 1144.07ms, mfu 0.01%
iter 161: loss 0.5209, time 1102.74ms, mfu 0.01%
iter 162: loss 0.4816, time 1037.79ms, mfu 0.01%
iter 163: loss 0.4884, time 1076.42ms, mfu 0.01%
iter 164: loss 0.5655, time 991.10ms, mfu 0.01%
iter 165: loss 0.5777, time 1030.51ms, mfu 0.01%
iter 166: loss 0.5282, time 1004.27ms, mfu 0.01%
iter 167: loss 0.5080, time 1046.15ms, mfu 0.01%
iter 168: loss 0.4811, time 1128.02ms, mfu 0.01%
iter 169: loss 0.5004, time 1115.39ms, mfu 0.01%
iter 170: loss 0.4998, time 1025.42ms, mfu 0.01%
iter 171: loss 0.4937, time 1028.69ms, mfu 0.01%
iter 172: loss 0.4496, time 1004.12ms, mfu 0.01%
iter 173: loss 0.4468, time 1091.72ms, mfu 0.01%
iter 174: loss 0.4889, time 1037.76ms, mfu 0.01%
iter 175: loss 0.4827, time 1035.04ms, mfu 0.01%
iter 176: loss 0.4863, time 1030.92ms, mfu 0.01%
iter 177: loss 0.4493, time 1019.69ms, mfu 0.01%
iter 178: loss 0.4601, time 1015.73ms, mfu 0.01%
iter 179: loss 0.4540, time 1060.44ms, mfu 0.01%
iter 180: loss 0.4932, time 1037.42ms, mfu 0.01%
iter 181: loss 0.4550, time 1096.67ms, mfu 0.01%
iter 182: loss 0.4723, time 1036.46ms, mfu 0.01%
iter 183: loss 0.4912, time 1049.84ms, mfu 0.01%
iter 184: loss 0.4693, time 1079.97ms, mfu 0.01%
iter 185: loss 0.4547, time 1099.40ms, mfu 0.01%
iter 186: loss 0.4635, time 1098.90ms, mfu 0.01%
iter 187: loss 0.4726, time 990.85ms, mfu 0.01%
iter 188: loss 0.4397, time 1062.30ms, mfu 0.01%
iter 189: loss 0.4864, time 1003.03ms, mfu 0.01%
iter 190: loss 0.5253, time 1045.56ms, mfu 0.01%
iter 191: loss 0.4832, time 1021.12ms, mfu 0.01%
iter 192: loss 0.4641, time 1094.36ms, mfu 0.01%
iter 193: loss 0.5456, time 1035.35ms, mfu 0.01%
iter 194: loss 0.4870, time 1037.41ms, mfu 0.01%
iter 195: loss 0.4808, time 1046.94ms, mfu 0.01%
iter 196: loss 0.4524, time 1095.85ms, mfu 0.01%
iter 197: loss 0.4988, time 1083.57ms, mfu 0.01%
iter 198: loss 0.4860, time 1020.62ms, mfu 0.01%
iter 199: loss 0.4595, time 1033.67ms, mfu 0.01%
iter 200: loss 0.4396, time 1048.86ms, mfu 0.01%
iter 201: loss 0.4473, time 1050.07ms, mfu 0.01%
iter 202: loss 0.4389, time 1033.86ms, mfu 0.01%
iter 203: loss 0.4524, time 1001.83ms, mfu 0.01%
iter 204: loss 0.4210, time 998.26ms, mfu 0.01%
iter 205: loss 0.4406, time 955.72ms, mfu 0.01%
iter 206: loss 0.4230, time 1044.71ms, mfu 0.01%
iter 207: loss 0.4131, time 1046.86ms, mfu 0.01%
iter 208: loss 0.4405, time 940.19ms, mfu 0.01%
iter 209: loss 0.4391, time 936.59ms, mfu 0.01%
iter 210: loss 0.4150, time 962.78ms, mfu 0.01%
iter 211: loss 0.4372, time 919.32ms, mfu 0.01%
iter 212: loss 0.4137, time 931.18ms, mfu 0.01%
iter 213: loss 0.3978, time 937.38ms, mfu 0.01%
iter 214: loss 0.4304, time 947.50ms, mfu 0.01%
iter 215: loss 0.4142, time 933.57ms, mfu 0.01%
iter 216: loss 0.4220, time 934.53ms, mfu 0.01%
iter 217: loss 0.4214, time 918.50ms, mfu 0.01%
iter 218: loss 0.4256, time 945.53ms, mfu 0.01%
iter 219: loss 0.4241, time 1067.21ms, mfu 0.01%
iter 220: loss 0.4229, time 980.54ms, mfu 0.01%
iter 221: loss 0.4065, time 984.89ms, mfu 0.01%
iter 222: loss 0.4063, time 1077.52ms, mfu 0.01%
iter 223: loss 0.4173, time 1395.41ms, mfu 0.01%
iter 224: loss 0.4390, time 1589.58ms, mfu 0.01%
iter 225: loss 0.4295, time 1591.83ms, mfu 0.01%
iter 226: loss 0.4393, time 1382.88ms, mfu 0.01%
iter 227: loss 0.4007, time 1271.06ms, mfu 0.01%
iter 228: loss 0.4234, time 1057.60ms, mfu 0.01%
iter 229: loss 0.4028, time 1066.64ms, mfu 0.01%
